t_ns,t_offset_s,parent_frame,child_frame,x,y,z,qx,qy,qz,qw,is_static
1783095546451505240,45.289938299,lowerpassive,grapplecarrier,0.0,0.0,-0.261,0.0,0.0,-0.07671896345246497,0.9970527572033385,False
1783095546451505240,45.289938299,grapplecarrier,grappletong1,-0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546451505240,45.289938299,grapplecarrier,grappletong2,0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546451505240,45.289938299,telescope,upperpassive,0.0,2.03711,-0.20229,0.4194517505575242,0.0,0.0,0.9077776318869221,False
1783095546451505240,45.289938299,base_link,mast,0.0,0.0,0.26881,0.0,0.0,0.7649209270789442,0.6441241924634475,False
1783095546451505240,45.289938299,mainboom,stick,0.0,3.04904,-0.00649,-0.5202641752691401,0.0,0.0,0.8540053793340657,False
1783095546451505240,45.289938299,stick,telescope,0.0,0.605535517255408,0.18741612188931134,0.0,0.0,0.0,1.0,False
1783095546470247155,45.308680214,zed_0_camera_center,zed_0_left_camera_frame,-0.01,0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546470297901,45.30873096,zed_0_camera_center,zed_0_right_camera_frame,-0.01,-0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546501608649,45.340041708,upperpassive,lowerpassive,0.0,0.0,-0.154,0.0,0.13052608259971893,0.0,0.9914448758055948,False
1783095546501608649,45.340041708,mast,mainboom,0.0,-0.0601374,1.09553,0.1313912309302832,0.0,0.0,0.991330592907646,False
1783095546501608649,45.340041708,lowerpassive,grapplecarrier,0.0,0.0,-0.261,0.0,0.0,-0.0793289733691498,0.9968484909875707,False
1783095546501608649,45.340041708,grapplecarrier,grappletong1,-0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546501608649,45.340041708,grapplecarrier,grappletong2,0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546501608649,45.340041708,telescope,upperpassive,0.0,2.03711,-0.20229,0.42182686468298364,0.0,0.0,0.9066764010559245,False
1783095546501608649,45.340041708,base_link,mast,0.0,0.0,0.26881,0.0,0.0,0.7649209270789442,0.6441241924634475,False
1783095546501608649,45.340041708,mainboom,stick,0.0,3.04904,-0.00649,-0.5202641752691401,0.0,0.0,0.8540053793340657,False
1783095546501608649,45.340041708,stick,telescope,0.0,0.605535517255408,0.18741612188931134,0.0,0.0,0.0,1.0,False
1783095546518807088,45.357240147,zed_0_camera_center,zed_0_left_camera_frame,-0.01,0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546518860113,45.357293172,zed_0_camera_center,zed_0_right_camera_frame,-0.01,-0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546551923685,45.390356744,upperpassive,lowerpassive,0.0,0.0,-0.154,0.0,0.14090111371733133,0.0,0.9900236745417839,False
1783095546551923685,45.390356744,mast,mainboom,0.0,-0.0601374,1.09553,0.1313912309302832,0.0,0.0,0.991330592907646,False
1783095546551923685,45.390356744,lowerpassive,grapplecarrier,0.0,0.0,-0.261,0.0,0.0,-0.08193843957485213,0.9966373924954042,False
1783095546551923685,45.390356744,grapplecarrier,grappletong1,-0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546551923685,45.390356744,grapplecarrier,grappletong2,0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546551923685,45.390356744,telescope,upperpassive,0.0,2.03711,-0.20229,0.42182686468298364,0.0,0.0,0.9066764010559245,False
1783095546551923685,45.390356744,base_link,mast,0.0,0.0,0.26881,0.0,0.0,0.7643585319677776,0.6447914659857588,False
1783095546551923685,45.390356744,mainboom,stick,0.0,3.04904,-0.00649,-0.5202641752691401,0.0,0.0,0.8540053793340657,False
1783095546551923685,45.390356744,stick,telescope,0.0,0.605535517255408,0.18741612188931134,0.0,0.0,0.0,1.0,False
1783095546583172556,45.421605615,zed_0_camera_center,zed_0_left_camera_frame,-0.01,0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546583205999,45.421639058,zed_0_camera_center,zed_0_right_camera_frame,-0.01,-0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546611559060,45.449992119,upperpassive,lowerpassive,0.0,0.0,-0.154,0.0,0.1443560799226225,0.0,0.989525806732383,False
1783095546611559060,45.449992119,mast,mainboom,0.0,-0.0601374,1.09553,0.1313912309302832,0.0,0.0,0.991330592907646,False
1783095546611559060,45.449992119,lowerpassive,grapplecarrier,0.0,0.0,-0.261,0.0,0.0,-0.08193843957485213,0.9966373924954042,False
1783095546611559060,45.449992119,grapplecarrier,grappletong1,-0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546611559060,45.449992119,grapplecarrier,grappletong2,0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546611559060,45.449992119,telescope,upperpassive,0.0,2.03711,-0.20229,0.4226179277171855,0.0,0.0,0.9063079427942977,False
1783095546611559060,45.449992119,base_link,mast,0.0,0.0,0.26881,0.0,0.0,0.7637955547653218,0.6454582484721489,False
1783095546611559060,45.449992119,mainboom,stick,0.0,3.04904,-0.00649,-0.5202641752691401,0.0,0.0,0.8540053793340657,False
1783095546611559060,45.449992119,stick,telescope,0.0,0.605535517255408,0.18741612188931134,0.0,0.0,0.0,1.0,False
1783095546661961379,45.500394438,upperpassive,lowerpassive,0.0,0.0,-0.154,0.0,0.1460829060566721,0.0,0.9892723510530542,False
1783095546661961379,45.500394438,mast,mainboom,0.0,-0.0601374,1.09553,0.1313912309302832,0.0,0.0,0.991330592907646,False
1783095546661961379,45.500394438,lowerpassive,grapplecarrier,0.0,0.0,-0.261,0.0,0.0,-0.08193843957485213,0.9966373924954042,False
1783095546661961379,45.500394438,grapplecarrier,grappletong1,-0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546661961379,45.500394438,grapplecarrier,grappletong2,0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546661961379,45.500394438,telescope,upperpassive,0.0,2.03711,-0.20229,0.4226179277171855,0.0,0.0,0.9063079427942977,False
1783095546661961379,45.500394438,base_link,mast,0.0,0.0,0.26881,0.0,0.0,0.7637955547653218,0.6454582484721489,False
1783095546661961379,45.500394438,mainboom,stick,0.0,3.04904,-0.00649,-0.5202641752691401,0.0,0.0,0.8540053793340657,False
1783095546661961379,45.500394438,stick,telescope,0.0,0.605535517255408,0.18741612188931134,0.0,0.0,0.0,1.0,False
1783095546668404381,45.50683744,zed_0_camera_center,zed_0_left_camera_frame,-0.01,0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546668442761,45.50687582,zed_0_camera_center,zed_0_right_camera_frame,-0.01,-0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546721684800,45.560117859,upperpassive,lowerpassive,0.0,0.0,-0.154,0.0,0.1460829060566721,0.0,0.9892723510530542,False
